Closing Date,State
15-Apr-11,Alabama
15-Apr-11,Alabama
15-Apr-11,Georgia
15-Apr-11,Georgia
08-Apr-11,Nevada
08-Apr-11,Illinois
25-Mar-11,Illinois
11-Mar-11,Wisconsin
11-Mar-11,Oklahoma
25-Feb-11,Illinois
18-Feb-11,California
18-Feb-11,California
18-Feb-11,Georgia
18-Feb-11,Georgia
11-Feb-11,California
11-Feb-11,Wisconsin
11-Feb-11,Michigan
11-Feb-11,Florida
04-Feb-11,Illinois
04-Feb-11,Georgia
04-Feb-11,Georgia
28-Jan-11,New Mexico
28-Jan-11,Colorado
28-Jan-11,Wisconsin
28-Jan-11,Oklahoma
21-Jan-11,Colorado
21-Jan-11,North Carolina
21-Jan-11,South Carolina
21-Jan-11,Georgia
14-Jan-11,Georgia
07-Jan-11,Arizona
07-Jan-11,Florida
17-Dec-10,Minnesota
17-Dec-10,Arkansas
17-Dec-10,Georgia
17-Dec-10,Georgia
17-Dec-10,Georgia
17-Dec-10,Florida
10-Dec-10,Pennsylvania
10-Dec-10,Michigan
19-Nov-10,Wisconsin
19-Nov-10,Pennsylvania
19-Nov-10,Florida
12-Nov-10,Arizona
12-Nov-10,Georgia
12-Nov-10,Georgia
05-Nov-10,California
05-Nov-10,Washington
05-Nov-10,California
05-Nov-10,Maryland
22-Oct-10,Arizona
22-Oct-10,Kansas
22-Oct-10,Illinois
22-Oct-10,Georgia
22-Oct-10,Georgia
22-Oct-10,Florida
22-Oct-10,Florida
15-Oct-10,Missouri
15-Oct-10,Missouri
15-Oct-10,Kansas
01-Oct-10,Washington
01-Oct-10,Florida
24-Sep-10,Washington
24-Sep-10,Florida
17-Sep-10,Wisconsin
17-Sep-10,Ohio
17-Sep-10,Georgia
17-Sep-10,Georgia
17-Sep-10,Georgia
17-Sep-10,New Jersey
10-Sep-10,Florida
20-Aug-10,California
20-Aug-10,California
20-Aug-10,California
20-Aug-10,California
20-Aug-10,Illinois
20-Aug-10,Virginia
20-Aug-10,Florida
20-Aug-10,Florida
13-Aug-10,Illinois
06-Aug-10,Illinois
30-Jul-10,Oregon
30-Jul-10,Washington
30-Jul-10,Florida
30-Jul-10,Florida
30-Jul-10,Georgia
23-Jul-10,Oregon
23-Jul-10,Nevada
23-Jul-10,Minnesota
23-Jul-10,Kansas
23-Jul-10,South Carolina
23-Jul-10,Georgia
23-Jul-10,Florida
16-Jul-10,Michigan
16-Jul-10,Florida
16-Jul-10,Florida
16-Jul-10,Florida
16-Jul-10,South Carolina
16-Jul-10,South Carolina
09-Jul-10,Oklahoma
09-Jul-10,New York
09-Jul-10,Maryland
09-Jul-10,Maryland
25-Jun-10,New Mexico
25-Jun-10,Georgia
25-Jun-10,Florida
18-Jun-10,Nevada
11-Jun-10,Washington
04-Jun-10,Nebraska
04-Jun-10,Illinois
04-Jun-10,Mississippi
28-May-10,Nevada
28-May-10,California
28-May-10,Florida
28-May-10,Florida
28-May-10,Florida
21-May-10,Minnesota
14-May-10,Illinois
14-May-10,Missouri
14-May-10,Michigan
14-May-10,Georgia
07-May-10,California
07-May-10,Arizona
07-May-10,Minnesota
07-May-10,Florida
30-Apr-10,Washington
30-Apr-10,Missouri
30-Apr-10,Missouri
30-Apr-10,Michigan
30-Apr-10,Puerto Rico
30-Apr-10,Puerto Rico
30-Apr-10,Puerto Rico
23-Apr-10,Illinois
23-Apr-10,Illinois
23-Apr-10,Illinois
23-Apr-10,Illinois
23-Apr-10,Illinois
23-Apr-10,Illinois
23-Apr-10,Illinois
16-Apr-10,Washington
16-Apr-10,California
16-Apr-10,California
16-Apr-10,Massachusetts
16-Apr-10,Florida
16-Apr-10,Florida
16-Apr-10,Florida
16-Apr-10,Michigan
09-Apr-10,South Carolina
26-Mar-10,Arizona
26-Mar-10,Georgia
26-Mar-10,Florida
26-Mar-10,Georgia
19-Mar-10,Minnesota
19-Mar-10,Alabama
19-Mar-10,Georgia
19-Mar-10,Georgia
19-Mar-10,Utah
19-Mar-10,Georgia
19-Mar-10,Ohio
12-Mar-10,Louisiana
12-Mar-10,Florida
12-Mar-10,New York
11-Mar-10,New York
05-Mar-10,Utah
05-Mar-10,Maryland
05-Mar-10,Illinois
05-Mar-10,Florida
26-Feb-10,Washington
26-Feb-10,Nevada
19-Feb-10,California
19-Feb-10,Illinois
19-Feb-10,Texas
19-Feb-10,Florida
05-Feb-10,Minnesota
29-Jan-10,Washington
29-Jan-10,California
29-Jan-10,Georgia
29-Jan-10,Minnesota
29-Jan-10,Florida
29-Jan-10,Georgia
22-Jan-10,Oregon
22-Jan-10,Washington
22-Jan-10,New Mexico
22-Jan-10,Missouri
22-Jan-10,Florida
15-Jan-10,Utah
15-Jan-10,Minnesota
15-Jan-10,Illinois
08-Jan-10,Washington
18-Dec-09,California
18-Dec-09,California
18-Dec-09,Illinois
18-Dec-09,Alabama
18-Dec-09,Michigan
18-Dec-09,Florida
18-Dec-09,Georgia
11-Dec-09,Kansas
11-Dec-09,Arizona
11-Dec-09,Florida
04-Dec-09,Virginia
04-Dec-09,Illinois
04-Dec-09,Ohio
04-Dec-09,Georgia
04-Dec-09,Georgia
04-Dec-09,Georgia
20-Nov-09,Florida
13-Nov-09,California
13-Nov-09,Florida
13-Nov-09,Florida
06-Nov-09,California
06-Nov-09,Missouri
06-Nov-09,Minnesota
06-Nov-09,Michigan
06-Nov-09,Georgia
30-Oct-09,Texas
30-Oct-09,Texas
30-Oct-09,Texas
30-Oct-09,Illinois
30-Oct-09,California
30-Oct-09,California
30-Oct-09,California
30-Oct-09,Illinois
30-Oct-09,Arizona
23-Oct-09,Illinois
23-Oct-09,Minnesota
23-Oct-09,Wisconsin
23-Oct-09,Florida
23-Oct-09,Florida
23-Oct-09,Georgia
23-Oct-09,Florida
16-Oct-09,California
02-Oct-09,Colorado
02-Oct-09,Minnesota
02-Oct-09,Michigan
25-Sep-09,Georgia
18-Sep-09,Kentucky
18-Sep-09,Indiana
11-Sep-09,Washington
11-Sep-09,Minnesota
11-Sep-09,Illinois
04-Sep-09,Arizona
04-Sep-09,Illinois
04-Sep-09,Iowa
04-Sep-09,Illinois
04-Sep-09,Missouri
28-Aug-09,California
28-Aug-09,Minnesota
28-Aug-09,Maryland
21-Aug-09,Texas
21-Aug-09,Alabama
21-Aug-09,Georgia
21-Aug-09,Georgia
14-Aug-09,Nevada
14-Aug-09,Arizona
14-Aug-09,Arizona
14-Aug-09,Alabama
14-Aug-09,Pennsylvania
07-Aug-09,Oregon
07-Aug-09,Florida
07-Aug-09,Florida
31-Jul-09,Illinois
31-Jul-09,New Jersey
31-Jul-09,Ohio
31-Jul-09,Florida
31-Jul-09,Oklahoma
24-Jul-09,Georgia
24-Jul-09,Georgia
24-Jul-09,Georgia
24-Jul-09,Georgia
24-Jul-09,Georgia
24-Jul-09,Georgia
24-Jul-09,New York
17-Jul-09,California
17-Jul-09,California
17-Jul-09,South Dakota
17-Jul-09,Georgia
10-Jul-09,Wyoming
02-Jul-09,Illinois
02-Jul-09,Texas
02-Jul-09,Illinois
02-Jul-09,Illinois
02-Jul-09,Illinois
02-Jul-09,Illinois
02-Jul-09,Illinois
26-Jun-09,California
26-Jun-09,California
26-Jun-09,Minnesota
26-Jun-09,Georgia
26-Jun-09,Georgia
19-Jun-09,Kansas
19-Jun-09,North Carolina
19-Jun-09,Georgia
05-Jun-09,Illinois
22-May-09,Illinois
22-May-09,Illinois
21-May-09,Florida
08-May-09,Washington
01-May-09,Utah
01-May-09,New Jersey
01-May-09,Georgia
24-Apr-09,Idaho
24-Apr-09,California
24-Apr-09,Michigan
24-Apr-09,Georgia
17-Apr-09,Nevada
17-Apr-09,Missouri
10-Apr-09,Colorado
10-Apr-09,North Carolina
27-Mar-09,Georgia
20-Mar-09,Kansas
20-Mar-09,Colorado
20-Mar-09,Georgia
06-Mar-09,Georgia
27-Feb-09,Nevada
27-Feb-09,Illinois
20-Feb-09,Oregon
13-Feb-09,Oregon
13-Feb-09,Illinois
13-Feb-09,Florida
13-Feb-09,Nebraska
06-Feb-09,California
06-Feb-09,California
06-Feb-09,Georgia
30-Jan-09,Florida
30-Jan-09,Maryland
30-Jan-09,Utah
23-Jan-09,California
16-Jan-09,Washington
16-Jan-09,Illinois
12-Dec-08,Texas
12-Dec-08,Georgia
05-Dec-08,Georgia
21-Nov-08,California
21-Nov-08,California
21-Nov-08,Georgia
07-Nov-08,California
07-Nov-08,Texas
31-Oct-08,Florida
24-Oct-08,Georgia
10-Oct-08,Illinois
10-Oct-08,Michigan
25-Sep-08,Nevada
19-Sep-08,West Virginia
05-Sep-08,Nevada
29-Aug-08,Georgia
22-Aug-08,Kansas
01-Aug-08,Florida
25-Jul-08,California
25-Jul-08,Nevada
11-Jul-08,California
30-May-08,Minnesota
09-May-08,Arkansas
07-Mar-08,Missouri
25-Jan-08,Missouri
04-Oct-07,Ohio
28-Sep-07,Georgia
02-Feb-07,Pennsylvania
25-Jun-04,Utah
19-Mar-04,New York
12-Mar-04,Florida
14-Feb-04,New Jersey
14-Nov-03,Pennsylvania
09-May-03,Wisconsin
07-Feb-03,California
17-Dec-02,Louisiana
08-Nov-02,Tennessee
30-Sep-02,Georgia
27-Jun-02,Illinois
26-Jun-02,Connecticut
28-Mar-02,Michigan
01-Mar-02,Florida
07-Feb-02,Arizona
01-Feb-02,Ohio
18-Jan-02,Texas
11-Jan-02,Florida
07-Sep-01,Arkansas
27-Jul-01,Illinois
03-May-01,Ohio
02-Feb-01,New Hampshire
14-Dec-00,Illinois
13-Oct-00,Hawaii
